Timestamp,What is your age,how much time do you spend playing games every day?,how many games do you you play,"How many different 'Launchers' (Steam, Epic, Xbox, Ubisoft) do you use?","""How many 'Game Mods' or custom textures do you use?"" ",What is the maximum game file size you are okay with? (select the closest number),How much free time do you have every day?,What is one of the game genre you like? ,would you want to buy games that cost money?,What game here would you want to play more?
46156.44541,13-18,more than 3 hours,more than 5,I don't use launchers,1-3,What ever the game size is,almost no free time,Cant decide,Yes,Genshin impact
46156.44564,13-18,less than 1 hour,1 to 3,1-2,1-3,What ever the game size is,less than a hour,Cant decide,No,Dino game
46156.44626,13-18,less than 1 hour,1 to 3,I don't use launchers,none,What ever the game size is,2-4 hours,strategy,No,Roblox
46156.44775,13-18,2-3 hours,4 to 5,1-2,1-3,What ever the game size is,2-4 hours,Puzzle,Yes,Minecraft
46156.44808,13-18,less than 1 hour,1 to 3,I don't use launchers,none,20GB,less than a hour,Cant decide,No,Roblox
46156.44958,13-18,less than 1 hour,1 to 3,I don't use launchers,none,What ever the game size is,2-4 hours,Cant decide,Yes,Mario kart
46156.45102,13-18,less than 1 hour,1 to 3,I don't use launchers,none,5GB,less than a hour,sports,No,Mario kart
46156.45269,7-12,2-3 hours,1 to 3,1-2,1-3,5GB,2-4 hours,simulation,No,Roblox
46156.45553,13-18,2-3 hours,4 to 5,3-4,1-3,20GB,More than 5 hours,sports,Yes,nintendo wii
46158.38986,13-18,2-3 hours,more than 5,1-2,none,more than 40 GB,2-4 hours,Role-playing,No,Genshin impact
46158.85069,13-18,less than 1 hour,4 to 5,more than 4,3-5,less than 1 GB,less than a hour,Cant decide,Yes,Stardew valley
46158.85126,13-18,more than 3 hours,4 to 5,3-4,1-3,What ever the game size is,More than 5 hours,sports,No,nintendo wii
46158.85347,7-12,2-3 hours,1 to 3,I don't use launchers,1-3,15GB,less than a hour,Puzzle,Yes,Minecraft
46160.83895,13-18,2-3 hours,more than 5,more than 4,more than 5,What ever the game size is,less than a hour,action,Yes,Roblox
46160.83998,7-12,2-3 hours,4 to 5,3-4,none,less than 1 GB,2-4 hours,action,No,Dino game
46160.84048,13-18,more than 3 hours,1 to 3,I don't use launchers,none,What ever the game size is,2-4 hours,action,Yes,Minecraft
